thread number,,hour,minute,second,mili,,,thread number,,
8,31,,,,,,,,,
9,,,,,,,,,,
9,31,,,,,,,,,
10,,,,,,,,,,
10,38,,,,,,,,,
11,,,,,,,,,,
11,31,,,,,,,,,
12,,,,,,,,,,
12,38,,,,,,,,,
13,,,,,,,,,,
13,47,,,,,,,,,
14,,,,,,,,,,
14,53,,,,,,,,,
15,,,,,,,,,,
15,47,,,,,,,,,
16,,,,,,,,,,
16,58,,,,,,,,,
17,,,,,,,,,,
17,49,,,,,,,,,
18,,,,,,,,,,
18,51,,,,,,,,,
19,,,,,,,,,,
19,56,,,,,,,,,
20,,,,,,,,,,
20,49,,,,,,,,,
21,,,,,,,,,,
21,93,,,,,,,,,
22,,,,,,,,,,
22,38,,,,,,,,,
23,,,,,,,,,,
23,47,,,,,,,,,
24,,,,,,,,,,
24,54,,,,,,,,,
25,,,,,,,,,,
25,62,,,,,,,,,
26,,,,,,,,,,
26,53,,,,,,,,,
27,,,,,,,,,,
27,47,,,,,,,,,
28,,,,,,,,,,
28,69,,,,,,,,,
29,,,,,,,,,,
29,84,,,,,,,,,
30,,,,,,,,,,
30,53,,,,,,,,,
31,,,,,,,,,,
31,63,,,,,,,,,
32,,,,,,,,,,
32,53,,,,,,,,,
33,,,,,,,,,,
33,80,,,,,,,,,
34,,,,,,,,,,
34,49,,,,,,,,,
35,,,,,,,,,,
35,100,,,,,,,,,
36,,,,,,,,,,
36,69,,,,,,,,,
37,,,,,,,,,,
37,65,,,,,,,,,
38,,,,,,,,,,
38,48,,,,,,,,,
39,,,,,,,,,,
39,154,,,,,,,,,
40,,,,,,,,,,
40,78,,,,,,,,,
41,,,,,,,,,,
41,69,,,,,,,,,
42,,,,,,,,,,
42,84,,,,,,,,,
43,,,,,,,,,,
43,69,,,,,,,,,
44,,,,,,,,,,
44,63,,,,,,,,,
45,,,,,,,,,,
45,69,,,,,,,,,
46,,,,,,,,,,
46,69,,,,,,,,,
47,,,,,,,,,,
47,80,,,,,,,,,
48,,,,,,,,,,
48,134,,,,,,,,,
49,,,,,,,,,,
49,69,,,,,,,,,
50,,,,,,,,,,
50,80,,,,,,,,,
51,,,,,,,,,,
51,118,,,,,,,,,
52,,,,,,,,,,
52,162,,,,,,,,,
53,,,,,,,,,,
53,86,,,,,,,,,
54,,,,,,,,,,
54,81,,,,,,,,,
55,,,,,,,,,,
55,103,,,,,,,,,
56,,,,,,,,,,
56,99,,,,,,,,,
57,,,,,,,,,,
57,78,,,,,,,,,
58,,,,,,,,,,
58,84,,,,,,,,,
59,,,,,,,,,,
59,101,,,,,,,,,
60,,,,,,,,,,
60,116,,,,,,,,,
61,,,,,,,,,,
61,84,,,,,,,,,
62,,,,,,,,,,
62,68,,,,,,,,,
63,,,,,,,,,,
63,68,,,,,,,,,
